"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
350,350,1,0,0,4
100,50,0,0,1,2
278.88,227.92,0,0,1,2
50,50,1,0,0,4
84.79,84.79,1,0,0,4
459.01,227,0,0,1,2
106.52,106.52,1,0,0,4
4457.29,0,0,1,0,3
79.95,79.95,1,0,0,4
43.49,43.49,1,0,0,4
600,337.4,0,0,1,2
354.93,301.69,0,0,1,2
21.44,21,1,0,0,4
275,275,1,0,0,4
30,30,1,0,0,4
1200,0,0,1,0,3
75,75,1,0,0,4
213,74.55,0,0,1,2
250,0,0,1,0,3
249,0,0,1,0,3
150,75,0,0,1,2
26,26,1,0,0,4
20,20,1,0,0,4
65,65,1,0,0,4
379.9,364.07,0,0,1,2
3250.04,3250,1,0,0,1
100,100,1,0,0,4
185,0,0,1,0,3
75.3,75,1,0,0,4
342.36,237,1,0,0,4
70.03,70,1,0,0,4
210,210,1,0,0,4
40,30,1,0,0,4
65,65,1,0,0,4
60,60,1,0,0,4
499,499,1,0,0,4
95,95,1,0,0,4
75,75,1,0,0,4
2000,600,0,0,1,2
225,225,1,0,0,4
400,293.84,0,0,1,2
1000,1000,1,0,0,4
10,10,1,0,0,4
50,50,1,0,0,4
20,20,1,0,0,4
50,30,0,0,1,2
300,150,0,0,1,2
120,120,1,0,0,4
24.95,25,1,0,0,4
263,263,1,0,0,4
208.16,208,1,0,0,4
250,250,1,0,0,4
165,165,1,0,0,4
1777,1777,1,0,0,1
492,492,1,0,0,4
499,499,1,0,0,4
598,0,0,1,0,3
97,35,0,0,1,2
112,112,1,0,0,4
420,420,1,0,0,4
25,25,1,0,0,4
200,200,1,0,0,4
249.99,162,1,0,0,4
80,80,1,0,0,4
764.97,726.74,0,0,1,2
40,40,1,0,0,4
129,0,0,1,0,3
598,0,0,1,0,3
400,0,0,1,0,3
20,20,1,0,0,4
20,20,1,0,0,4
200,197,1,0,0,4
73.83,74,1,0,0,4
280,280,0,1,0,3
167,167,1,0,0,4
244,244,1,0,0,4
10,10,1,0,0,4
100,0,0,1,0,3
204,204,1,0,0,4
700,700,1,0,0,4
25,25,1,0,0,4
1200,1000,0,0,1,2
150,78.8,0,0,1,2
1760,1760,1,0,0,1
500,500,1,0,0,4
2342.41,2342,1,0,0,1
37,37,1,0,0,4
500,229,1,0,0,4
775.16,775.16,0,0,1,2
828.05,742.25,0,0,1,2
65,65,1,0,0,4
100,100,1,0,0,4
448,435,1,0,0,4
45,45,1,0,0,4
50,50,1,0,0,4
13.98,15,1,0,0,4
45,45,1,0,0,4
151.82,75.91,0,0,1,2
350,332.5,0,0,1,2
70,70,1,0,0,4
75.48,75.48,1,0,0,4
30,30,1,0,0,4
1938.35,1938,1,0,0,1
575,528,1,0,0,4
199.99,200,1,0,0,4
4746.29,0,0,1,0,3
2500,0,0,1,0,3
2250,1000,0,0,1,2
250,183.65,0,0,1,2
1200,1038.78,0,0,1,2
195,146.25,0,0,1,2
140,133,0,0,1,2
244,220,0,0,1,2
39,39,1,0,0,4
225,225,1,0,0,4
330.45,280.88,0,0,1,2
130,117,0,0,1,2
1344.13,1338.96,0,0,1,2
179.99,127.94,0,0,1,2
48,48,1,0,0,4
50,0,1,0,0,4
23,23,1,0,0,4
199.99,200,1,0,0,4
110,110,1,0,0,4
500,500,1,0,0,4
900,0,0,1,0,3
250,0,0,1,0,3
180,144,0,0,1,2
17.31,17,1,0,0,4
60,60,1,0,0,4
350,300,1,0,0,4
300,300,1,0,0,4
20,20,1,0,0,4
322.29,322,1,0,0,4
116.36,116,1,0,0,4
60,60,1,0,0,4
30,30,1,0,0,4
87,87,1,0,0,4
1097.33,1097,1,0,0,4
84.53,85,1,0,0,4
30,30,1,0,0,4
212,212,1,0,0,4
324,324,1,0,0,4
98,98,1,0,0,4
20,20,1,0,0,4
8,8,1,0,0,4
239,0,0,1,0,3
690,485.96,0,0,1,2
1844.38,768.67,0,0,1,2
289.9,264.61,0,0,1,2
200,100,0,0,1,2
149,141.55,0,0,1,2
125,25,0,0,1,2
50,50,1,0,0,4
325,280.25,0,0,1,2
747.13,747.13,1,0,0,4
260,260,1,0,0,4
270,270,1,0,0,4
3200,0,0,1,0,3
190,35,0,0,1,2
209.27,193.85,0,0,1,2
20,20,1,0,0,4
196.6,197,1,0,0,4
85,85,1,0,0,4
182.53,183,1,0,0,4
43.35,43,1,0,0,4
14,14,1,0,0,4
215,155,1,0,0,4
110.49,110,1,0,0,4
50,50,1,0,0,4
195,195,1,0,0,4
48,48,1,0,0,4
200,20,1,0,0,4
220,0,0,1,0,3
3000,0,0,1,0,3
100,92.63,0,0,1,2
2500,1800,0,0,1,1
140,269.95,0,0,1,2
122,122,1,0,0,4
37,37,1,0,0,4
65,65,1,0,0,4
47.64,48,1,0,0,4
350,350,1,0,0,4
450,315,0,0,1,2
189,94.5,0,0,1,2
95,95,1,0,0,4
500,315.28,0,0,1,2
69,69,1,0,0,4
169.97,170,1,0,0,4
100,86,1,0,0,4
350,350,1,0,0,4
200,200,1,0,0,4
129,129,1,0,0,4
140.57,0,0,1,0,3
150,0,0,1,0,3
400,368,0,0,1,2
280,266,0,0,1,2
250,218.5,0,0,1,2
338.72,321.78,0,0,1,2
766,766,1,0,0,4
517.28,310.67,0,0,1,2
53,0,1,0,0,4
120,120,1,0,0,4
200,200,1,0,0,4
125,0,1,0,0,4
45.99,46,1,0,0,4
139,139,1,0,0,4
100,100,1,0,0,4
69.17,69,1,0,0,4
51,51,1,0,0,4
66.5,67,1,0,0,4
542.37,542,1,0,0,4
50,50,1,0,0,4
7.5,0,0,1,0,3
175,157.5,0,0,1,2
499,280.48,0,0,1,2
2029,600,0,0,1,2
326.02,321.74,0,0,1,2
2000,2000,1,0,0,1
47.7,48,1,0,0,4
50,50,1,0,0,4
90,90,1,0,0,4
200,200,1,0,0,4
150,150,1,0,0,4
436,436,1,0,0,4
240,240,1,0,0,4
1000,0,0,1,0,3
200,50,0,0,1,2
159.99,160,1,0,0,4
910,910,1,0,0,4
35,35,1,0,0,4
397.5,398,1,0,0,4
98,0,1,0,0,4
1100,1046.42,0,0,1,2
99.99,40,0,0,1,2
147,147,1,0,0,4
50,50,1,0,0,4
99,106,1,0,0,4
120,120,1,0,0,4
50,0,0,1,0,3
3604.47,1331.54,0,0,1,2
417.99,397.33,0,0,1,2
1000,1732.03,0,0,1,2
75,50,0,0,1,2
100,50,0,0,1,2
680,605,0,0,1,2
2068,754.63,0,0,1,2
39.98,40,1,0,0,4
198.47,198,1,0,0,4
1590.39,1590,1,0,0,4
689.59,690,1,0,0,4
5800,0,0,1,0,3
2000,2000,0,1,0,1
75,75,0,1,0,3
500,350,0,0,1,2
275,195.94,0,0,1,2
95,95,1,0,0,4
11,11,1,0,0,4
771.81,0,0,1,0,3
2600,1626.92,0,0,1,1
20,20,1,0,0,4
25,25,1,0,0,4
250,250,1,0,0,4
75,75,1,0,0,4
75,75,1,0,0,4
250,250,1,0,0,4
2129.87,0,1,0,0,4
84.79,85,1,0,0,4
515.45,515,1,0,0,4
255,255,1,0,0,4
70,70,1,0,0,4
140,140,1,0,0,4
769,769,1,0,0,4
95,95,1,0,0,4
203.52,204,1,0,0,4
726.73,727,1,0,0,4
50,50,1,0,0,4
50,50,1,0,0,4
60,60,1,0,0,4
40,40,1,0,0,4
45,45,1,0,0,4
41.43,41,1,0,0,4
72,72,1,0,0,4
50,50,1,0,0,4
20,20,1,0,0,4
21.4,21,1,0,0,4
22.21,22,1,0,0,4
28,28,1,0,0,4
32.96,33,1,0,0,4
150,0,0,1,0,3
1800,0,0,1,0,3
515,0,0,1,0,3
1379.7,1379.7,0,1,0,3
585,0,0,1,0,3
535,0,0,1,0,3
15553.3,0,0,1,0,1
70,0,0,1,0,3
119,107.1,0,0,1,2
199.96,146.83,0,0,1,2
200,120,0,0,1,2
174.49,113.42,0,0,1,2
120,70,0,0,1,2
30,30,1,0,0,4
150,150,1,0,0,4
125,125,1,0,0,4
255,255,1,0,0,4
711.55,712,1,0,0,4
135,135,1,0,0,4
50,50,1,0,0,4
40,40,1,0,0,4
75,75,1,0,0,4
100,100,1,0,0,4
250,250,1,0,0,4
75,75,1,0,0,4
135,135,1,0,0,4
195.9,196,1,0,0,4
300,300,1,0,0,4
58.04,58,1,0,0,4
96.51,97,1,0,0,4
100,100,1,0,0,4
18.86,19,1,0,0,4
27.06,27,1,0,0,4
65,0,0,1,0,3
383.03,324.05,0,0,1,2
80,59.5,0,0,1,2
644.09,515.72,0,0,1,2
1933.14,962.15,0,0,1,2
120,96,0,0,1,2
75,75,1,0,0,4
60,60,1,0,0,4
175,175,1,0,0,4
125,125,1,0,0,4
159.99,159.99,1,0,0,4
50,50,1,0,0,4
40,40,1,0,0,4
50,50,1,0,0,4
250,250,1,0,0,4
120,120,1,0,0,4
